,time,crime_type,crime_description,crime_intensity
174,2015-07,Property,Arson,0.00014562819169224958
175,2015-08,Property,Arson,0.00015470102245247874
176,2015-09,Property,Arson,0.00015933001773830993
177,2015-10,Property,Arson,0.00017062476623573808
178,2015-11,Property,Arson,0.00017821631850450123
179,2015-12,Property,Arson,0.00018247499416746595
180,2016-01,Property,Arson,0.0001869188296418639
181,2016-02,Property,Arson,0.0001902146742853757
182,2016-03,Property,Arson,0.0001979913863655721
183,2016-04,Property,Arson,0.00020002814429133785
184,2016-05,Property,Arson,0.00019632494806267288
185,2016-06,Property,Arson,0.00019938008495132148
186,2016-07,Property,Arson,0.00019900976532845498
187,2016-08,Property,Arson,0.00019641752796838952
188,2016-09,Property,Arson,0.00020137981091480054
189,2016-10,Property,Arson,0.00019952821280046806
190,2016-11,Property,Arson,0.00019375122668375072
191,2016-12,Property,Arson,0.00019088124960653537
192,2017-01,Property,Arson,0.00018495613564067145
193,2017-02,Property,Arson,0.00019051092998366887
194,2017-03,Property,Arson,0.00017754974318334152
195,2017-04,Property,Arson,0.00018014198054340698
196,2017-05,Property,Arson,0.0001744020263889763
197,2017-06,Property,Arson,0.00017255042827464382
198,2017-07,Property,Arson,0.00016214444687209526
199,2017-08,Property,Arson,0.00015890415017201344
200,2001-01,Property,Burglary,
201,2001-02,Property,Burglary,
202,2001-03,Property,Burglary,
203,2001-04,Property,Burglary,
204,2001-05,Property,Burglary,
205,2001-06,Property,Burglary,
206,2001-07,Property,Burglary,
207,2001-08,Property,Burglary,
208,2001-09,Property,Burglary,
209,2001-10,Property,Burglary,
210,2001-11,Property,Burglary,
211,2001-12,Property,Burglary,0.0030221439893153854
212,2002-01,Property,Burglary,0.003049593813234433
213,2002-02,Property,Burglary,0.003038208112094872
214,2002-03,Property,Burglary,0.0030302939235282668
215,2002-04,Property,Burglary,0.003023502997094894
216,2002-05,Property,Burglary,0.0030330785414134985
217,2002-06,Property,Burglary,0.0030493276409329297
218,2002-07,Property,Burglary,0.003135761343288592
219,2002-08,Property,Burglary,0.0032202172776604086
220,2002-09,Property,Burglary,0.003295944111538454
221,2002-10,Property,Burglary,0.0033530554646837656
222,2002-11,Property,Burglary,0.00340927030773906
223,2002-12,Property,Burglary,0.0035512263397852856
224,2003-01,Property,Burglary,0.003619990433608448
225,2003-02,Property,Burglary,0.0036849620144744845
226,2003-03,Property,Burglary,0.003816329553822528
227,2003-04,Property,Burglary,0.003900209030394107
228,2003-05,Property,Burglary,0.003989575980948524
229,2003-06,Property,Burglary,0.0041025710698218976
230,2003-07,Property,Burglary,0.004143706313841311
231,2003-08,Property,Burglary,0.004167962678020925
232,2003-09,Property,Burglary,0.004159064270289466
233,2003-10,Property,Burglary,0.004181748231425374
234,2003-11,Property,Burglary,0.004171491811462524
235,2003-12,Property,Burglary,0.004128652485174085
236,2004-01,Property,Burglary,0.004122185850923191
237,2004-02,Property,Burglary,0.004165494295143489
238,2004-03,Property,Burglary,0.004151344622708142
239,2004-04,Property,Burglary,0.004159008251960504
240,2004-05,Property,Burglary,0.004124150697514672
241,2004-06,Property,Burglary,0.004111830898653075
242,2004-07,Property,Burglary,0.004076755385202822
243,2004-08,Property,Burglary,0.004058714242312165
244,2004-09,Property,Burglary,0.0040541845101833614
245,2004-10,Property,Burglary,0.004035249522366943
246,2004-11,Property,Burglary,0.00408899903241842
247,2004-12,Property,Burglary,0.0041080676347353745
248,2005-01,Property,Burglary,0.0041296100566268895
249,2005-02,Property,Burglary,0.0040911233755196305
250,2005-03,Property,Burglary,0.00407815250724108
251,2005-04,Property,Burglary,0.004061873506961195
252,2005-05,Property,Burglary,0.0040869953173374015
253,2005-06,Property,Burglary,0.004135565455543744
254,2005-07,Property,Burglary,0.004182508407780465
255,2005-08,Property,Burglary,0.004264594624676117
256,2005-09,Property,Burglary,0.004329119063405868
257,2005-10,Property,Burglary,0.004399573857174195
258,2005-11,Property,Burglary,0.004363890197853187
259,2005-12,Property,Burglary,0.00436637569192084
260,2006-01,Property,Burglary,0.004382052459262168
261,2006-02,Property,Burglary,0.004392685826039763
262,2006-03,Property,Burglary,0.004382974788638595
263,2006-04,Property,Burglary,0.004367801511203984
264,2006-05,Property,Burglary,0.004402621716177435
265,2006-06,Property,Burglary,0.0043396120881070924
266,2006-07,Property,Burglary,0.00434216839845077
267,2006-08,Property,Burglary,0.004257199774007837
268,2006-09,Property,Burglary,0.004188441307649386
269,2006-10,Property,Burglary,0.004145466286418717
270,2006-11,Property,Burglary,0.004100825687852935
271,2006-12,Property,Burglary,0.004079682152078736
272,2007-01,Property,Burglary,0.004015678695448747
273,2007-02,Property,Burglary,0.003982400707403879
274,2007-03,Property,Burglary,0.004045715884965507
275,2007-04,Property,Burglary,0.004087365001003871
276,2007-05,Property,Burglary,0.004094191905589908
277,2007-06,Property,Burglary,0.004103525433242648
278,2007-07,Property,Burglary,0.004074022471187978
279,2007-08,Property,Burglary,0.004094185878621957
280,2007-09,Property,Burglary,0.004139680635450516
281,2007-10,Property,Burglary,0.004162447363042234
282,2007-11,Property,Burglary,0.004246369008849184
283,2007-12,Property,Burglary,0.004281091730097577
284,2008-01,Property,Burglary,0.004376000305364145
285,2008-02,Property,Burglary,0.004417793002740108
286,2008-03,Property,Burglary,0.004398426714594688
287,2008-04,Property,Burglary,0.004427981172144876
288,2008-05,Property,Burglary,0.004478618239721719
289,2008-06,Property,Burglary,0.004512630852194384
290,2008-07,Property,Burglary,0.004535026717147617
291,2008-08,Property,Burglary,0.004551504927819709
292,2008-09,Property,Burglary,0.004535321658229337
293,2008-10,Property,Burglary,0.004547971364177768
294,2008-11,Property,Burglary,0.004573205436456893
295,2008-12,Property,Burglary,0.004640481922819022
296,2009-01,Property,Burglary,0.004630284742978929
297,2009-02,Property,Burglary,0.004677799190423215
298,2009-03,Property,Burglary,0.00469295356489221
299,2009-04,Property,Burglary,0.0046848564775322545
300,2009-05,Property,Burglary,0.00462525777432594
301,2009-06,Property,Burglary,0.0045979675436523156
302,2009-07,Property,Burglary,0.004571422342867988
303,2009-08,Property,Burglary,0.004672831505603551
304,2009-09,Property,Burglary,0.0047372463904381485
305,2009-10,Property,Burglary,0.0047331426247133705
306,2009-11,Property,Burglary,0.004679021772235203
307,2009-12,Property,Burglary,0.004685619196272486
308,2010-01,Property,Burglary,0.004652149099072657
309,2010-02,Property,Burglary,0.0045872912880509575
310,2010-03,Property,Burglary,0.00454503356960645
311,2010-04,Property,Burglary,0.0045245297408869735
312,2010-05,Property,Burglary,0.0045349770940925375
313,2010-06,Property,Burglary,0.004552916767757536
314,2010-07,Property,Burglary,0.004527026911481942
315,2010-08,Property,Burglary,0.004429383958842534
316,2010-09,Property,Burglary,0.004383324480545086
317,2010-10,Property,Burglary,0.004372106329961997
318,2010-11,Property,Burglary,0.004405748653487057
319,2010-12,Property,Burglary,0.004316978395298416
320,2011-01,Property,Burglary,0.004307770999687771
321,2011-02,Property,Burglary,0.0043258394766578735
322,2011-03,Property,Burglary,0.004297614700250103
323,2011-04,Property,Burglary,0.004333092052708598
324,2011-05,Property,Burglary,0.004418846070025244
325,2011-06,Property,Burglary,0.0044460964585713225
326,2011-07,Property,Burglary,0.004474120899029274
327,2011-08,Property,Burglary,0.004475560811615112
328,2011-09,Property,Burglary,0.0045226313786026475
329,2011-10,Property,Burglary,0.004529641458179205
330,2011-11,Property,Burglary,0.0045177317278187745
331,2011-12,Property,Burglary,0.004555506808553583
332,2012-01,Property,Burglary,0.004547113064529301
333,2012-02,Property,Burglary,0.0045169365942266376
334,2012-03,Property,Burglary,0.0045147485848659255
335,2012-04,Property,Burglary,0.004446276256314629
336,2012-05,Property,Burglary,0.004365809880389594
337,2012-06,Property,Burglary,0.004302719665040674
338,2012-07,Property,Burglary,0.004282714330537445
339,2012-08,Property,Burglary,0.004230032765234255
340,2012-09,Property,Burglary,0.004120785354408416
341,2012-10,Property,Burglary,0.004047691926166599
342,2012-11,Property,Burglary,0.004047006776220743
343,2012-12,Property,Burglary,0.003937916050910903
344,2013-01,Property,Burglary,0.003919414106050064
345,2013-02,Property,Burglary,0.0039020581980582173
346,2013-03,Property,Burglary,0.003837590906703168
347,2013-04,Property,Burglary,0.0037927267367707843
348,2013-05,Property,Burglary,0.0036573361146048293
349,2013-06,Property,Burglary,0.003563999690996982
350,2013-07,Property,Burglary,0.0034551379509581794
351,2013-08,Property,Burglary,0.0033729030072099826
352,2013-09,Property,Burglary,0.0033350619084824046
353,2013-10,Property,Burglary,0.003240212400466141
354,2013-11,Property,Burglary,0.0030979334568496625
355,2013-12,Property,Burglary,0.003087829094967654
356,2014-01,Property,Burglary,0.0029952763607034656
357,2014-02,Property,Burglary,0.002921086001079601
358,2014-03,Property,Burglary,0.0028826463096660415
359,2014-04,Property,Burglary,0.0028362792042172773
360,2014-05,Property,Burglary,0.0028262950186475253
361,2014-06,Property,Burglary,0.0028183670087711956
362,2014-07,Property,Burglary,0.002778856506909824
363,2014-08,Property,Burglary,0.002732241025867595
364,2014-09,Property,Burglary,0.0026467409231379258
365,2014-10,Property,Burglary,0.0026371163778602874
366,2014-11,Property,Burglary,0.00263589145678415
367,2014-12,Property,Burglary,0.002584338688878806
368,2015-01,Property,Burglary,0.0025994036598436516
369,2015-02,Property,Burglary,0.00258795881569192
370,2015-03,Property,Burglary,0.0025803934777429666
