time,crime_type,total_crime_pct
2015-09,Property,0.39155467221890916
2015-10,Property,0.39040316393012275
2015-11,Property,0.39027007804951597
2015-12,Property,0.38658519541571223
2016-01,Property,0.3847902736669313
2016-02,Property,0.38538481737599783
2016-03,Property,0.38575238562600445
2016-04,Property,0.38384557564744104
2016-05,Property,0.38425455954809296
2016-06,Property,0.3843665848448399
2016-07,Property,0.3827066411335547
2016-08,Property,0.38039949131809925
2016-09,Property,0.3797607193059084
2016-10,Property,0.3785588095369723
2016-11,Property,0.3791402705958524
2016-12,Property,0.37883230203056106
2017-01,Property,0.37744547763325587
2017-02,Property,0.3760485641639443
2017-03,Property,0.3745740952841202
2017-04,Property,0.37555403286543076
2017-05,Property,0.3749240644780024
2017-06,Property,0.37611575782263507
2017-07,Property,0.375559153137223
