time,Property,Society,Violent
2009-04,0.10520404344364188,0.021465037255542562,0.04046561204835429
2009-05,0.10473121478685161,0.021460112793921928,0.04022401602945706
2009-06,0.10424039205609888,0.021432657029199918,0.03979964648999049
2009-07,0.10395288219528062,0.021273757622783947,0.039367675795878077
2009-08,0.10339760228636835,0.021021838153662716,0.039080061660369106
2009-09,0.10240239152615858,0.02096882309740605,0.03867207501919888
2009-10,0.10119076760519179,0.020789920106127784,0.03789860272253086
2009-11,0.10070192749559573,0.02065643580748099,0.03781957087709942
2009-12,0.10049382806328681,0.02060312237907463,0.03796024724698828
2010-01,0.10051984569440185,0.020587486030556747,0.03793178565235021
2010-02,0.0993972861644272,0.020536966459125918,0.037609680945754044
2010-03,0.09869713036637875,0.020618837035149058,0.03765435211981402
